"iter","time","est_name","n_fe","dgp_name","n_iters","n_obs"
2,0.142243385314941,"alpaca Poisson",2,"simple",10,10000
2,0.0470716953277588,"fixest::fepois",2,"simple",10,10000
2,0.170873165130615,"pyfixest.fepois",3,"simple",10,10000
2,0.0672440528869629,"GLFixedEffectModels Poisson",3,"simple",10,10000
2,0.669904947280884,"alpaca Poisson",3,"simple",10,10000
2,0.0305311679840088,"fixest::fepois",3,"simple",10,10000
3,0.0934925079345703,"pyfixest.fepois",2,"simple",10,10000
3,0.0259008407592773,"GLFixedEffectModels Poisson",2,"simple",10,10000
3,0.104388952255249,"alpaca Poisson",2,"simple",10,10000
3,0.0469787120819092,"fixest::fepois",2,"simple",10,10000
3,0.128144979476929,"pyfixest.fepois",3,"simple",10,10000
3,0.0438258647918701,"GLFixedEffectModels Poisson",3,"simple",10,10000
3,0.256337642669678,"alpaca Poisson",3,"simple",10,10000
3,0.079615592956543,"fixest::fepois",3,"simple",10,10000
4,0.0922656059265137,"pyfixest.fepois",2,"simple",10,10000
4,0.0277280807495117,"GLFixedEffectModels Poisson",2,"simple",10,10000
4,0.110727071762085,"alpaca Poisson",2,"simple",10,10000
4,0.0548112392425537,"fixest::fepois",2,"simple",10,10000
4,0.113111972808838,"pyfixest.fepois",3,"simple",10,10000
4,0.0380630493164062,"GLFixedEffectModels Poisson",3,"simple",10,10000
4,0.235200881958008,"alpaca Poisson",3,"simple",10,10000
4,0.0518772602081299,"fixest::fepois",3,"simple",10,10000
5,0.0943131446838379,"pyfixest.fepois",2,"simple",10,10000
5,0.0254831314086914,"GLFixedEffectModels Poisson",2,"simple",10,10000
5,0.116810083389282,"alpaca Poisson",2,"simple",10,10000
5,0.0415434837341309,"fixest::fepois",2,"simple",10,10000
5,0.142737627029419,"pyfixest.fepois",3,"simple",10,10000
5,0.0647718906402588,"GLFixedEffectModels Poisson",3,"simple",10,10000
5,0.320935964584351,"alpaca Poisson",3,"simple",10,10000
5,0.0605740547180176,"fixest::fepois",3,"simple",10,10000
6,0.0943944454193115,"pyfixest.fepois",2,"simple",10,10000
6,0.0286469459533691,"GLFixedEffectModels Poisson",2,"simple",10,10000
6,0.134985446929932,"alpaca Poisson",2,"simple",10,10000
6,0.0422284603118896,"fixest::fepois",2,"simple",10,10000
6,0.146388053894043,"pyfixest.fepois",3,"simple",10,10000
6,0.0629370212554932,"GLFixedEffectModels Poisson",3,"simple",10,10000
6,0.401441812515259,"alpaca Poisson",3,"simple",10,10000
6,0.0605940818786621,"fixest::fepois",3,"simple",10,10000
7,0.0928826332092285,"pyfixest.fepois",2,"simple",10,10000
7,0.0216248035430908,"GLFixedEffectModels Poisson",2,"simple",10,10000
7,0.114110231399536,"alpaca Poisson",2,"simple",10,10000
7,0.0446398258209229,"fixest::fepois",2,"simple",10,10000
7,0.132377624511719,"pyfixest.fepois",3,"simple",10,10000
7,0.0444469451904297,"GLFixedEffectModels Poisson",3,"simple",10,10000
7,0.29962944984436,"alpaca Poisson",3,"simple",10,10000
7,0.0569295883178711,"fixest::fepois",3,"simple",10,10000
8,0.0917057991027832,"pyfixest.fepois",2,"simple",10,10000
8,0.0255851745605469,"GLFixedEffectModels Poisson",2,"simple",10,10000
8,0.110937118530273,"alpaca Poisson",2,"simple",10,10000
8,0.0432767868041992,"fixest::fepois",2,"simple",10,10000
8,0.129746675491333,"pyfixest.fepois",3,"simple",10,10000
8,0.0494589805603027,"GLFixedEffectModels Poisson",3,"simple",10,10000
8,0.284287929534912,"alpaca Poisson",3,"simple",10,10000
8,0.0600965023040771,"fixest::fepois",3,"simple",10,10000
9,0.0939383506774902,"pyfixest.fepois",2,"simple",10,10000
9,0.027122974395752,"GLFixedEffectModels Poisson",2,"simple",10,10000
9,0.126236438751221,"alpaca Poisson",2,"simple",10,10000
9,0.0486006736755371,"fixest::fepois",2,"simple",10,10000
9,0.132238149642944,"pyfixest.fepois",3,"simple",10,10000
9,0.0532040596008301,"GLFixedEffectModels Poisson",3,"simple",10,10000
9,0.33922553062439,"alpaca Poisson",3,"simple",10,10000
9,0.0555686950683594,"fixest::fepois",3,"simple",10,10000
10,0.0931165218353271,"pyfixest.fepois",2,"simple",10,10000
10,0.0212020874023438,"GLFixedEffectModels Poisson",2,"simple",10,10000
10,0.104292631149292,"alpaca Poisson",2,"simple",10,10000
10,0.0915632247924805,"fixest::fepois",2,"simple",10,10000
10,0.106065511703491,"pyfixest.fepois",3,"simple",10,10000
10,0.0344550609588623,"GLFixedEffectModels Poisson",3,"simple",10,10000
10,0.188458442687988,"alpaca Poisson",3,"simple",10,10000
10,0.0552136898040771,"fixest::fepois",3,"simple",10,10000
11,0.0904641151428223,"pyfixest.fepois",2,"simple",10,10000
11,0.0377941131591797,"GLFixedEffectModels Poisson",2,"simple",10,10000
11,0.115622520446777,"alpaca Poisson",2,"simple",10,10000
11,0.0430517196655273,"fixest::fepois",2,"simple",10,10000
11,0.127114057540894,"pyfixest.fepois",3,"simple",10,10000
11,0.0989000797271729,"GLFixedEffectModels Poisson",3,"simple",10,10000
11,0.287095069885254,"alpaca Poisson",3,"simple",10,10000
11,0.0566420555114746,"fixest::fepois",3,"simple",10,10000
2,0.359884262084961,"pyfixest.fepois",2,"simple",5,1e+05
2,0.2652268409729,"GLFixedEffectModels Poisson",2,"simple",5,1e+05
2,1.29294395446777,"alpaca Poisson",2,"simple",5,1e+05
2,0.101730585098267,"fixest::fepois",2,"simple",5,1e+05
2,1.05399584770203,"pyfixest.fepois",3,"simple",5,1e+05
2,0.437901020050049,"GLFixedEffectModels Poisson",3,"simple",5,1e+05
2,4.2934832572937,"alpaca Poisson",3,"simple",5,1e+05
2,0.15927791595459,"fixest::fepois",3,"simple",5,1e+05
3,0.383862733840942,"pyfixest.fepois",2,"simple",5,1e+05
3,0.287817001342773,"GLFixedEffectModels Poisson",2,"simple",5,1e+05
3,1.25274848937988,"alpaca Poisson",2,"simple",5,1e+05
3,0.0867908000946045,"fixest::fepois",2,"simple",5,1e+05
3,1.20823359489441,"pyfixest.fepois",3,"simple",5,1e+05
3,0.651090860366821,"GLFixedEffectModels Poisson",3,"simple",5,1e+05
3,4.04611849784851,"alpaca Poisson",3,"simple",5,1e+05
3,0.183735132217407,"fixest::fepois",3,"simple",5,1e+05
4,0.361055135726929,"pyfixest.fepois",2,"simple",5,1e+05
4,0.273816108703613,"GLFixedEffectModels Poisson",2,"simple",5,1e+05
4,1.06463360786438,"alpaca Poisson",2,"simple",5,1e+05
4,0.0894947052001953,"fixest::fepois",2,"simple",5,1e+05
4,1.03496289253235,"pyfixest.fepois",3,"simple",5,1e+05
4,0.583201885223389,"GLFixedEffectModels Poisson",3,"simple",5,1e+05
4,5.29761528968811,"alpaca Poisson",3,"simple",5,1e+05
4,0.134708642959595,"fixest::fepois",3,"simple",5,1e+05
5,0.370062589645386,"pyfixest.fepois",2,"simple",5,1e+05
5,0.279711961746216,"GLFixedEffectModels Poisson",2,"simple",5,1e+05
5,1.05652475357056,"alpaca Poisson",2,"simple",5,1e+05
5,0.0909018516540527,"fixest::fepois",2,"simple",5,1e+05
5,1.17729187011719,"pyfixest.fepois",3,"simple",5,1e+05
5,0.425516128540039,"GLFixedEffectModels Poisson",3,"simple",5,1e+05
5,3.00662159919739,"alpaca Poisson",3,"simple",5,1e+05
5,0.286093950271606,"fixest::fepois",3,"simple",5,1e+05
6,0.39814281463623,"pyfixest.fepois",2,"simple",5,1e+05
6,0.261309146881104,"GLFixedEffectModels Poisson",2,"simple",5,1e+05
6,1.22343921661377,"alpaca Poisson",2,"simple",5,1e+05
6,0.0873079299926758,"fixest::fepois",2,"simple",5,1e+05
6,1.55554008483887,"pyfixest.fepois",3,"simple",5,1e+05
6,0.546195983886719,"GLFixedEffectModels Poisson",3,"simple",5,1e+05
6,5.53019571304321,"alpaca Poisson",3,"simple",5,1e+05
6,0.182109832763672,"fixest::fepois",3,"simple",5,1e+05
2,0.0834195613861084,"pyfixest.fepois",2,"difficult",10,1000
2,0.00580692291259766,"GLFixedEffectModels Poisson",2,"difficult",10,1000
2,0.0128343105316162,"alpaca Poisson",2,"difficult",10,1000
2,0.0146894454956055,"fixest::fepois",2,"difficult",10,1000
2,0.0813577175140381,"pyfixest.fepois",3,"difficult",10,1000
2,0.00925278663635254,"GLFixedEffectModels Poisson",3,"difficult",10,1000
2,0.0199069976806641,"alpaca Poisson",3,"difficult",10,1000
2,0.0145964622497559,"fixest::fepois",3,"difficult",10,1000
3,0.0819151401519775,"pyfixest.fepois",2,"difficult",10,1000
3,0.00685787200927734,"GLFixedEffectModels Poisson",2,"difficult",10,1000
3,0.0137219429016113,"alpaca Poisson",2,"difficult",10,1000
3,0.0137624740600586,"fixest::fepois",2,"difficult",10,1000
3,0.0839905738830566,"pyfixest.fepois",3,"difficult",10,1000
3,0.0122368335723877,"GLFixedEffectModels Poisson",3,"difficult",10,1000
3,0.0214986801147461,"alpaca Poisson",3,"difficult",10,1000
3,0.0141832828521729,"fixest::fepois",3,"difficult",10,1000
4,0.079728364944458,"pyfixest.fepois",2,"difficult",10,1000
4,0.00620794296264648,"GLFixedEffectModels Poisson",2,"difficult",10,1000
4,0.0136590003967285,"alpaca Poisson",2,"difficult",10,1000
4,0.0142052173614502,"fixest::fepois",2,"difficult",10,1000
4,0.0815510749816895,"pyfixest.fepois",3,"difficult",10,1000
4,0.00923681259155273,"GLFixedEffectModels Poisson",3,"difficult",10,1000
4,0.0204703807830811,"alpaca Poisson",3,"difficult",10,1000
4,0.0139448642730713,"fixest::fepois",3,"difficult",10,1000
5,0.0804054737091064,"pyfixest.fepois",2,"difficult",10,1000
5,0.00637388229370117,"GLFixedEffectModels Poisson",2,"difficult",10,1000
5,0.0123512744903564,"alpaca Poisson",2,"difficult",10,1000
5,0.0136630535125732,"fixest::fepois",2,"difficult",10,1000
5,0.078455924987793,"pyfixest.fepois",3,"difficult",10,1000
5,0.00905799865722656,"GLFixedEffectModels Poisson",3,"difficult",10,1000
5,0.0151031017303467,"alpaca Poisson",3,"difficult",10,1000
5,0.0141246318817139,"fixest::fepois",3,"difficult",10,1000
6,0.0814435482025146,"pyfixest.fepois",2,"difficult",10,1000
6,0.00666379928588867,"GLFixedEffectModels Poisson",2,"difficult",10,1000
6,0.0158934593200684,"alpaca Poisson",2,"difficult",10,1000
6,0.0134143829345703,"fixest::fepois",2,"difficult",10,1000
6,0.0845363140106201,"pyfixest.fepois",3,"difficult",10,1000
6,0.01357102394104,"GLFixedEffectModels Poisson",3,"difficult",10,1000
6,0.0177638530731201,"alpaca Poisson",3,"difficult",10,1000
6,0.0146870613098145,"fixest::fepois",3,"difficult",10,1000
7,0.0829124450683594,"pyfixest.fepois",2,"difficult",10,1000
7,0.00758600234985352,"GLFixedEffectModels Poisson",2,"difficult",10,1000
7,0.0151376724243164,"alpaca Poisson",2,"difficult",10,1000
7,0.014293909072876,"fixest::fepois",2,"difficult",10,1000
7,0.084585428237915,"pyfixest.fepois",3,"difficult",10,1000
7,0.0116679668426514,"GLFixedEffectModels Poisson",3,"difficult",10,1000
7,0.0200636386871338,"alpaca Poisson",3,"difficult",10,1000
7,0.0145714282989502,"fixest::fepois",3,"difficult",10,1000
8,0.0794286727905273,"pyfixest.fepois",2,"difficult",10,1000
8,0.00638103485107422,"GLFixedEffectModels Poisson",2,"difficult",10,1000
8,0.0127356052398682,"alpaca Poisson",2,"difficult",10,1000
8,0.0155346393585205,"fixest::fepois",2,"difficult",10,1000
8,0.0853633880615234,"pyfixest.fepois",3,"difficult",10,1000
8,0.00930619239807129,"GLFixedEffectModels Poisson",3,"difficult",10,1000
8,0.0236976146697998,"alpaca Poisson",3,"difficult",10,1000
8,0.014174222946167,"fixest::fepois",3,"difficult",10,1000
9,0.0823211669921875,"pyfixest.fepois",2,"difficult",10,1000
9,0.00884103775024414,"GLFixedEffectModels Poisson",2,"difficult",10,1000
9,0.0128848552703857,"alpaca Poisson",2,"difficult",10,1000
9,0.0146212577819824,"fixest::fepois",2,"difficult",10,1000
9,0.0836553573608398,"pyfixest.fepois",3,"difficult",10,1000
9,0.00928902626037598,"GLFixedEffectModels Poisson",3,"difficult",10,1000
9,0.0215256214141846,"alpaca Poisson",3,"difficult",10,1000
9,0.0145614147186279,"fixest::fepois",3,"difficult",10,1000
10,0.0837481021881104,"pyfixest.fepois",2,"difficult",10,1000
10,0.00588798522949219,"GLFixedEffectModels Poisson",2,"difficult",10,1000
10,0.0125546455383301,"alpaca Poisson",2,"difficult",10,1000
10,0.0140392780303955,"fixest::fepois",2,"difficult",10,1000
10,0.0845651626586914,"pyfixest.fepois",3,"difficult",10,1000
10,0.00848293304443359,"GLFixedEffectModels Poisson",3,"difficult",10,1000
10,0.0168924331665039,"alpaca Poisson",3,"difficult",10,1000
10,0.0146512985229492,"fixest::fepois",3,"difficult",10,1000
11,0.0809628963470459,"pyfixest.fepois",2,"difficult",10,1000
11,0.00606513023376465,"GLFixedEffectModels Poisson",2,"difficult",10,1000
11,0.0117504596710205,"alpaca Poisson",2,"difficult",10,1000
11,0.0140795707702637,"fixest::fepois",2,"difficult",10,1000
11,0.0827376842498779,"pyfixest.fepois",3,"difficult",10,1000
11,0.01078200340271,"GLFixedEffectModels Poisson",3,"difficult",10,1000
11,0.0164611339569092,"alpaca Poisson",3,"difficult",10,1000
11,0.0148293972015381,"fixest::fepois",3,"difficult",10,1000
2,0.0928046703338623,"pyfixest.fepois",2,"difficult",10,10000
2,0.0274901390075684,"GLFixedEffectModels Poisson",2,"difficult",10,10000
2,0.119888782501221,"alpaca Poisson",2,"difficult",10,10000
2,0.0534484386444092,"fixest::fepois",2,"difficult",10,10000
2,0.278658151626587,"pyfixest.fepois",3,"difficult",10,10000
2,0.0700020790100098,"GLFixedEffectModels Poisson",3,"difficult",10,10000
2,1.19033002853394,"alpaca Poisson",3,"difficult",10,10000
2,0.0357449054718018,"fixest::fepois",3,"difficult",10,10000
3,0.0907599925994873,"pyfixest.fepois",2,"difficult",10,10000
3,0.0215818881988525,"GLFixedEffectModels Poisson",2,"difficult",10,10000
3,0.111446380615234,"alpaca Poisson",2,"difficult",10,10000
3,0.0487022399902344,"fixest::fepois",2,"difficult",10,10000
3,0.169981718063354,"pyfixest.fepois",3,"difficult",10,10000
3,0.0533480644226074,"GLFixedEffectModels Poisson",3,"difficult",10,10000
3,0.675399780273438,"alpaca Poisson",3,"difficult",10,10000
3,0.0383822917938232,"fixest::fepois",3,"difficult",10,10000
4,0.0890777111053467,"pyfixest.fepois",2,"difficult",10,10000
4,0.0202019214630127,"GLFixedEffectModels Poisson",2,"difficult",10,10000
4,0.106391906738281,"alpaca Poisson",2,"difficult",10,10000
4,0.0458474159240723,"fixest::fepois",2,"difficult",10,10000
4,0.189948797225952,"pyfixest.fepois",3,"difficult",10,10000
4,0.045943021774292,"GLFixedEffectModels Poisson",3,"difficult",10,10000
4,0.731563568115234,"alpaca Poisson",3,"difficult",10,10000
4,0.0421667098999023,"fixest::fepois",3,"difficult",10,10000
5,0.0913128852844238,"pyfixest.fepois",2,"difficult",10,10000
5,0.0231809616088867,"GLFixedEffectModels Poisson",2,"difficult",10,10000
5,0.112923622131348,"alpaca Poisson",2,"difficult",10,10000
5,0.047093391418457,"fixest::fepois",2,"difficult",10,10000
5,0.21927547454834,"pyfixest.fepois",3,"difficult",10,10000
5,0.0676121711730957,"GLFixedEffectModels Poisson",3,"difficult",10,10000
5,0.909722805023193,"alpaca Poisson",3,"difficult",10,10000
5,0.0322692394256592,"fixest::fepois",3,"difficult",10,10000
6,0.0900404453277588,"pyfixest.fepois",2,"difficult",10,10000
6,0.0243010520935059,"GLFixedEffectModels Poisson",2,"difficult",10,10000
6,0.110040903091431,"alpaca Poisson",2,"difficult",10,10000
6,0.0471251010894775,"fixest::fepois",2,"difficult",10,10000
6,0.315289974212646,"pyfixest.fepois",3,"difficult",10,10000
6,0.05417799949646,"GLFixedEffectModels Poisson",3,"difficult",10,10000
6,1.49948048591614,"alpaca Poisson",3,"difficult",10,10000
6,0.0365629196166992,"fixest::fepois",3,"difficult",10,10000
7,0.0918879508972168,"pyfixest.fepois",2,"difficult",10,10000
7,0.0230350494384766,"GLFixedEffectModels Poisson",2,"difficult",10,10000
7,0.115534782409668,"alpaca Poisson",2,"difficult",10,10000
7,0.0472104549407959,"fixest::fepois",2,"difficult",10,10000
7,0.214714765548706,"pyfixest.fepois",3,"difficult",10,10000
7,0.0535509586334229,"GLFixedEffectModels Poisson",3,"difficult",10,10000
7,0.990121841430664,"alpaca Poisson",3,"difficult",10,10000
7,0.0299942493438721,"fixest::fepois",3,"difficult",10,10000
8,0.0941505432128906,"pyfixest.fepois",2,"difficult",10,10000
8,0.0264809131622314,"GLFixedEffectModels Poisson",2,"difficult",10,10000
8,0.120962619781494,"alpaca Poisson",2,"difficult",10,10000
8,0.0881555080413818,"fixest::fepois",2,"difficult",10,10000
8,0.205205202102661,"pyfixest.fepois",3,"difficult",10,10000
8,0.0623588562011719,"GLFixedEffectModels Poisson",3,"difficult",10,10000
8,1.03012347221375,"alpaca Poisson",3,"difficult",10,10000
8,0.0322442054748535,"fixest::fepois",3,"difficult",10,10000
9,0.0918223857879639,"pyfixest.fepois",2,"difficult",10,10000
9,0.0252211093902588,"GLFixedEffectModels Poisson",2,"difficult",10,10000
9,0.129868507385254,"alpaca Poisson",2,"difficult",10,10000
9,0.0434012413024902,"fixest::fepois",2,"difficult",10,10000
9,0.218395948410034,"pyfixest.fepois",3,"difficult",10,10000
9,0.0645010471343994,"GLFixedEffectModels Poisson",3,"difficult",10,10000
9,0.950239658355713,"alpaca Poisson",3,"difficult",10,10000
9,0.0361299514770508,"fixest::fepois",3,"difficult",10,10000
10,0.0897207260131836,"pyfixest.fepois",2,"difficult",10,10000
10,0.0233011245727539,"GLFixedEffectModels Poisson",2,"difficult",10,10000
10,0.109916210174561,"alpaca Poisson",2,"difficult",10,10000
10,0.0472486019134521,"fixest::fepois",2,"difficult",10,10000
10,0.196835279464722,"pyfixest.fepois",3,"difficult",10,10000
10,0.0529439449310303,"GLFixedEffectModels Poisson",3,"difficult",10,10000
10,0.748129367828369,"alpaca Poisson",3,"difficult",10,10000
10,0.0409178733825684,"fixest::fepois",3,"difficult",10,10000
11,0.0958125591278076,"pyfixest.fepois",2,"difficult",10,10000
11,0.0384979248046875,"GLFixedEffectModels Poisson",2,"difficult",10,10000
11,0.134570121765137,"alpaca Poisson",2,"difficult",10,10000
11,0.0551283359527588,"fixest::fepois",2,"difficult",10,10000
11,0.288486242294312,"pyfixest.fepois",3,"difficult",10,10000
11,0.0790820121765137,"GLFixedEffectModels Poisson",3,"difficult",10,10000
11,1.54810547828674,"alpaca Poisson",3,"difficult",10,10000
11,0.0385658740997314,"fixest::fepois",3,"difficult",10,10000
2,0.374062538146973,"pyfixest.fepois",2,"difficult",3,1e+05
2,0.280134201049805,"GLFixedEffectModels Poisson",2,"difficult",3,1e+05
2,1.18843150138855,"alpaca Poisson",2,"difficult",3,1e+05
2,0.0861659049987793,"fixest::fepois",2,"difficult",3,1e+05
2,103.650251626968,"pyfixest.fepois",3,"difficult",3,1e+05
2,3.35957503318787,"GLFixedEffectModels Poisson",3,"difficult",3,1e+05
2,302.994560718536,"alpaca Poisson",3,"difficult",3,1e+05
2,1.68673372268677,"fixest::fepois",3,"difficult",3,1e+05
3,0.373834609985352,"pyfixest.fepois",2,"difficult",3,1e+05
3,0.270340919494629,"GLFixedEffectModels Poisson",2,"difficult",3,1e+05
3,1.0969979763031,"alpaca Poisson",2,"difficult",3,1e+05
3,0.0806281566619873,"fixest::fepois",2,"difficult",3,1e+05
3,132.477689266205,"pyfixest.fepois",3,"difficult",3,1e+05
3,2.95050382614136,"GLFixedEffectModels Poisson",3,"difficult",3,1e+05
3,294.862803697586,"alpaca Poisson",3,"difficult",3,1e+05
3,1.59431266784668,"fixest::fepois",3,"difficult",3,1e+05
4,0.356680393218994,"pyfixest.fepois",2,"difficult",3,1e+05
4,0.270235061645508,"GLFixedEffectModels Poisson",2,"difficult",3,1e+05
4,1.18081665039062,"alpaca Poisson",2,"difficult",3,1e+05
4,0.0825068950653076,"fixest::fepois",2,"difficult",3,1e+05
4,90.011292219162,"pyfixest.fepois",3,"difficult",3,1e+05
4,2.56808876991272,"GLFixedEffectModels Poisson",3,"difficult",3,1e+05
4,356.374907016754,"alpaca Poisson",3,"difficult",3,1e+05
4,1.61590576171875,"fixest::fepois",3,"difficult",3,1e+05
2,1.060218334198,"pyfixest.fepois",2,"simple",3,5e+05
2,1.19629597663879,"GLFixedEffectModels Poisson",2,"simple",3,5e+05
2,0.504193067550659,"fixest::fepois",2,"simple",3,5e+05
2,5.93601107597351,"pyfixest.fepois",3,"simple",3,5e+05
2,2.88163018226624,"GLFixedEffectModels Poisson",3,"simple",3,5e+05
2,1.15310025215149,"fixest::fepois",3,"simple",3,5e+05
3,1.12415218353271,"pyfixest.fepois",2,"simple",3,5e+05
3,1.27959704399109,"GLFixedEffectModels Poisson",2,"simple",3,5e+05
3,0.484524965286255,"fixest::fepois",2,"simple",3,5e+05
3,9.10727214813232,"pyfixest.fepois",3,"simple",3,5e+05
3,3.90019202232361,"GLFixedEffectModels Poisson",3,"simple",3,5e+05
3,1.32724165916443,"fixest::fepois",3,"simple",3,5e+05
4,1.1544497013092,"pyfixest.fepois",2,"simple",3,5e+05
