"iter","time","est_name","n_fe","dgp_name","n_iters","n_obs"
2,0.00835347175598145,"fixest::feols",3,"difficult",10,1000
3,0.0837206840515137,"pyfixest.feols",2,"difficult",10,1000
3,0.00172305107116699,"FixedEffectModels.reg",2,"difficult",10,1000
3,0.00599384307861328,"lfe::felm",2,"difficult",10,1000
3,0.00821471214294434,"fixest::feols",2,"difficult",10,1000
3,0.0867822170257568,"pyfixest.feols",3,"difficult",10,1000
3,0.00215601921081543,"FixedEffectModels.reg",3,"difficult",10,1000
3,0.00641202926635742,"lfe::felm",3,"difficult",10,1000
3,0.008453369140625,"fixest::feols",3,"difficult",10,1000
4,0.0844781398773193,"pyfixest.feols",2,"difficult",10,1000
4,0.00171208381652832,"FixedEffectModels.reg",2,"difficult",10,1000
4,0.00593805313110352,"lfe::felm",2,"difficult",10,1000
4,0.0081181526184082,"fixest::feols",2,"difficult",10,1000
4,0.086176872253418,"pyfixest.feols",3,"difficult",10,1000
4,0.0021059513092041,"FixedEffectModels.reg",3,"difficult",10,1000
4,0.00612998008728027,"lfe::felm",3,"difficult",10,1000
4,0.00821948051452637,"fixest::feols",3,"difficult",10,1000
5,0.0836451053619385,"pyfixest.feols",2,"difficult",10,1000
5,0.00159788131713867,"FixedEffectModels.reg",2,"difficult",10,1000
5,0.00580573081970215,"lfe::felm",2,"difficult",10,1000
5,0.00801777839660645,"fixest::feols",2,"difficult",10,1000
5,0.0842809677124023,"pyfixest.feols",3,"difficult",10,1000
5,0.0021049976348877,"FixedEffectModels.reg",3,"difficult",10,1000
5,0.00610661506652832,"lfe::felm",3,"difficult",10,1000
5,0.00822734832763672,"fixest::feols",3,"difficult",10,1000
6,0.0867459774017334,"pyfixest.feols",2,"difficult",10,1000
6,0.00162386894226074,"FixedEffectModels.reg",2,"difficult",10,1000
6,0.00591349601745605,"lfe::felm",2,"difficult",10,1000
6,0.00809884071350098,"fixest::feols",2,"difficult",10,1000
6,0.0876836776733398,"pyfixest.feols",3,"difficult",10,1000
6,0.00211405754089355,"FixedEffectModels.reg",3,"difficult",10,1000
6,0.00617766380310059,"lfe::felm",3,"difficult",10,1000
6,0.00824236869812012,"fixest::feols",3,"difficult",10,1000
7,0.0866093635559082,"pyfixest.feols",2,"difficult",10,1000
7,0.00160408020019531,"FixedEffectModels.reg",2,"difficult",10,1000
7,0.00582051277160645,"lfe::felm",2,"difficult",10,1000
7,0.00789928436279297,"fixest::feols",2,"difficult",10,1000
7,0.0875115394592285,"pyfixest.feols",3,"difficult",10,1000
7,0.00208592414855957,"FixedEffectModels.reg",3,"difficult",10,1000
7,0.00609874725341797,"lfe::felm",3,"difficult",10,1000
7,0.00823640823364258,"fixest::feols",3,"difficult",10,1000
8,0.0858879089355469,"pyfixest.feols",2,"difficult",10,1000
8,0.00170993804931641,"FixedEffectModels.reg",2,"difficult",10,1000
8,0.00596880912780762,"lfe::felm",2,"difficult",10,1000
8,0.00822544097900391,"fixest::feols",2,"difficult",10,1000
8,0.0880711078643799,"pyfixest.feols",3,"difficult",10,1000
8,0.0022130012512207,"FixedEffectModels.reg",3,"difficult",10,1000
8,0.00624465942382812,"lfe::felm",3,"difficult",10,1000
8,0.0083622932434082,"fixest::feols",3,"difficult",10,1000
9,0.0877053737640381,"pyfixest.feols",2,"difficult",10,1000
9,0.00179886817932129,"FixedEffectModels.reg",2,"difficult",10,1000
9,0.0063326358795166,"lfe::felm",2,"difficult",10,1000
9,0.0081641674041748,"fixest::feols",2,"difficult",10,1000
9,0.0879859924316406,"pyfixest.feols",3,"difficult",10,1000
9,0.00225996971130371,"FixedEffectModels.reg",3,"difficult",10,1000
9,0.00628757476806641,"lfe::felm",3,"difficult",10,1000
9,0.0080111026763916,"fixest::feols",3,"difficult",10,1000
10,0.082815408706665,"pyfixest.feols",2,"difficult",10,1000
10,0.00170207023620605,"FixedEffectModels.reg",2,"difficult",10,1000
10,0.0063931941986084,"lfe::felm",2,"difficult",10,1000
10,0.00812005996704102,"fixest::feols",2,"difficult",10,1000
10,0.0845351219177246,"pyfixest.feols",3,"difficult",10,1000
10,0.00234103202819824,"FixedEffectModels.reg",3,"difficult",10,1000
10,0.00639915466308594,"lfe::felm",3,"difficult",10,1000
10,0.00819993019104004,"fixest::feols",3,"difficult",10,1000
11,0.0881335735321045,"pyfixest.feols",2,"difficult",10,1000
11,0.00181388854980469,"FixedEffectModels.reg",2,"difficult",10,1000
11,0.0061643123626709,"lfe::felm",2,"difficult",10,1000
11,0.00821995735168457,"fixest::feols",2,"difficult",10,1000
11,0.086695671081543,"pyfixest.feols",3,"difficult",10,1000
11,0.00250411033630371,"FixedEffectModels.reg",3,"difficult",10,1000
11,0.00666451454162598,"lfe::felm",3,"difficult",10,1000
11,0.00839495658874512,"fixest::feols",3,"difficult",10,1000
2,0.105619430541992,"pyfixest.feols",2,"simple",10,10000
2,0.0026090145111084,"FixedEffectModels.reg",2,"simple",10,10000
2,0.00993680953979492,"lfe::felm",2,"simple",10,10000
2,0.0157907009124756,"fixest::feols",2,"simple",10,10000
2,0.108734369277954,"pyfixest.feols",3,"simple",10,10000
2,0.00395607948303223,"FixedEffectModels.reg",3,"simple",10,10000
2,0.0123095512390137,"lfe::felm",3,"simple",10,10000
2,0.0151658058166504,"fixest::feols",3,"simple",10,10000
3,0.108668327331543,"pyfixest.feols",2,"simple",10,10000
3,0.0025489330291748,"FixedEffectModels.reg",2,"simple",10,10000
3,0.012397289276123,"lfe::felm",2,"simple",10,10000
3,0.0157437324523926,"fixest::feols",2,"simple",10,10000
3,0.11143159866333,"pyfixest.feols",3,"simple",10,10000
3,0.00397801399230957,"FixedEffectModels.reg",3,"simple",10,10000
3,0.0162725448608398,"lfe::felm",3,"simple",10,10000
