"iter","time","est_name","n_fe","dgp_name","n_iters","n_obs"
6,0.0400979518890381,"GLFixedEffectModels logit",3,"simple",10,10000
6,0.163285493850708,"alpaca logit",3,"simple",10,10000
6,0.0585770606994629,"fixest logit",3,"simple",10,10000
7,0.0281400680541992,"GLFixedEffectModels logit",2,"simple",10,10000
7,0.087714672088623,"alpaca logit",2,"simple",10,10000
7,0.054072380065918,"fixest logit",2,"simple",10,10000
7,0.0523130893707275,"GLFixedEffectModels logit",3,"simple",10,10000
7,0.181829690933228,"alpaca logit",3,"simple",10,10000
7,0.0758001804351807,"fixest logit",3,"simple",10,10000
8,0.0238862037658691,"GLFixedEffectModels logit",2,"simple",10,10000
8,0.0748937129974365,"alpaca logit",2,"simple",10,10000
8,0.0439438819885254,"fixest logit",2,"simple",10,10000
8,0.0541379451751709,"GLFixedEffectModels logit",3,"simple",10,10000
8,0.156406879425049,"alpaca logit",3,"simple",10,10000
8,0.0668773651123047,"fixest logit",3,"simple",10,10000
9,0.0270459651947021,"GLFixedEffectModels logit",2,"simple",10,10000
9,0.083730936050415,"alpaca logit",2,"simple",10,10000
9,0.0603525638580322,"fixest logit",2,"simple",10,10000
9,0.0441970825195312,"GLFixedEffectModels logit",3,"simple",10,10000
9,0.147693872451782,"alpaca logit",3,"simple",10,10000
9,0.0580105781555176,"fixest logit",3,"simple",10,10000
10,0.0250580310821533,"GLFixedEffectModels logit",2,"simple",10,10000
10,0.0806999206542969,"alpaca logit",2,"simple",10,10000
10,0.0500481128692627,"fixest logit",2,"simple",10,10000
10,0.0528659820556641,"GLFixedEffectModels logit",3,"simple",10,10000
10,0.149441242218018,"alpaca logit",3,"simple",10,10000
10,0.0559382438659668,"fixest logit",3,"simple",10,10000
11,0.0319879055023193,"GLFixedEffectModels logit",2,"simple",10,10000
11,0.0756864547729492,"alpaca logit",2,"simple",10,10000
11,0.05615234375,"fixest logit",2,"simple",10,10000
11,0.0513169765472412,"GLFixedEffectModels logit",3,"simple",10,10000
11,0.129179239273071,"alpaca logit",3,"simple",10,10000
11,0.105237007141113,"fixest logit",3,"simple",10,10000
2,0.264481782913208,"GLFixedEffectModels logit",2,"simple",5,1e+05
2,0.823500633239746,"alpaca logit",2,"simple",5,1e+05
2,0.0851776599884033,"fixest logit",2,"simple",5,1e+05
2,0.292885065078735,"GLFixedEffectModels logit",3,"simple",5,1e+05
2,1.49112033843994,"alpaca logit",3,"simple",5,1e+05
2,0.13433313369751,"fixest logit",3,"simple",5,1e+05
3,0.248907089233398,"GLFixedEffectModels logit",2,"simple",5,1e+05
3,0.743518352508545,"alpaca logit",2,"simple",5,1e+05
3,0.232712268829346,"fixest logit",2,"simple",5,1e+05
3,0.355929136276245,"GLFixedEffectModels logit",3,"simple",5,1e+05
3,1.67307043075562,"alpaca logit",3,"simple",5,1e+05
3,0.150908231735229,"fixest logit",3,"simple",5,1e+05
4,0.180021047592163,"GLFixedEffectModels logit",2,"simple",5,1e+05
4,0.75864577293396,"alpaca logit",2,"simple",5,1e+05
4,0.082533597946167,"fixest logit",2,"simple",5,1e+05
4,0.343384027481079,"GLFixedEffectModels logit",3,"simple",5,1e+05
4,1.27892017364502,"alpaca logit",3,"simple",5,1e+05
4,0.283135175704956,"fixest logit",3,"simple",5,1e+05
5,0.179084062576294,"GLFixedEffectModels logit",2,"simple",5,1e+05
5,0.780977487564087,"alpaca logit",2,"simple",5,1e+05
5,0.0852096080780029,"fixest logit",2,"simple",5,1e+05
5,0.349497079849243,"GLFixedEffectModels logit",3,"simple",5,1e+05
5,1.37364053726196,"alpaca logit",3,"simple",5,1e+05
5,0.142132997512817,"fixest logit",3,"simple",5,1e+05
6,0.185589075088501,"GLFixedEffectModels logit",2,"simple",5,1e+05
6,0.708176374435425,"alpaca logit",2,"simple",5,1e+05
6,0.231287479400635,"fixest logit",2,"simple",5,1e+05
6,0.352015018463135,"GLFixedEffectModels logit",3,"simple",5,1e+05
6,1.48351621627808,"alpaca logit",3,"simple",5,1e+05
6,0.280936717987061,"fixest logit",3,"simple",5,1e+05
2,0.00667190551757812,"GLFixedEffectModels logit",2,"difficult",10,1000
2,0.0121610164642334,"alpaca logit",2,"difficult",10,1000
2,0.0150728225708008,"fixest logit",2,"difficult",10,1000
2,0.0100929737091064,"GLFixedEffectModels logit",3,"difficult",10,1000
2,0.0159039497375488,"alpaca logit",3,"difficult",10,1000
2,0.0155153274536133,"fixest logit",3,"difficult",10,1000
3,0.0074620246887207,"GLFixedEffectModels logit",2,"difficult",10,1000
3,0.0134141445159912,"alpaca logit",2,"difficult",10,1000
3,0.0164918899536133,"fixest logit",2,"difficult",10,1000
3,0.0107779502868652,"GLFixedEffectModels logit",3,"difficult",10,1000
3,0.0175838470458984,"alpaca logit",3,"difficult",10,1000
3,0.0169243812561035,"fixest logit",3,"difficult",10,1000
4,0.00688695907592773,"GLFixedEffectModels logit",2,"difficult",10,1000
4,0.0122175216674805,"alpaca logit",2,"difficult",10,1000
4,0.0150806903839111,"fixest logit",2,"difficult",10,1000
4,0.0115718841552734,"GLFixedEffectModels logit",3,"difficult",10,1000
4,0.016563892364502,"alpaca logit",3,"difficult",10,1000
4,0.0165379047393799,"fixest logit",3,"difficult",10,1000
5,0.00685906410217285,"GLFixedEffectModels logit",2,"difficult",10,1000
5,0.01839280128479,"alpaca logit",2,"difficult",10,1000
5,0.0165355205535889,"fixest logit",2,"difficult",10,1000
5,0.00962305068969727,"GLFixedEffectModels logit",3,"difficult",10,1000
5,0.0184640884399414,"alpaca logit",3,"difficult",10,1000
5,0.0168156623840332,"fixest logit",3,"difficult",10,1000
6,0.0115320682525635,"GLFixedEffectModels logit",2,"difficult",10,1000
6,0.0140576362609863,"alpaca logit",2,"difficult",10,1000
6,0.0163333415985107,"fixest logit",2,"difficult",10,1000
6,0.0147428512573242,"GLFixedEffectModels logit",3,"difficult",10,1000
6,0.0193796157836914,"alpaca logit",3,"difficult",10,1000
6,0.0183677673339844,"fixest logit",3,"difficult",10,1000
7,0.00734686851501465,"GLFixedEffectModels logit",2,"difficult",10,1000
7,0.0139839649200439,"alpaca logit",2,"difficult",10,1000
7,0.0163896083831787,"fixest logit",2,"difficult",10,1000
7,0.0099799633026123,"GLFixedEffectModels logit",3,"difficult",10,1000
7,0.0176281929016113,"alpaca logit",3,"difficult",10,1000
7,0.0167672634124756,"fixest logit",3,"difficult",10,1000
8,0.00711512565612793,"GLFixedEffectModels logit",2,"difficult",10,1000
8,0.0136730670928955,"alpaca logit",2,"difficult",10,1000
8,0.0164670944213867,"fixest logit",2,"difficult",10,1000
8,0.0101680755615234,"GLFixedEffectModels logit",3,"difficult",10,1000
8,0.0252110958099365,"alpaca logit",3,"difficult",10,1000
8,0.0168092250823975,"fixest logit",3,"difficult",10,1000
9,0.00845193862915039,"GLFixedEffectModels logit",2,"difficult",10,1000
9,0.0116093158721924,"alpaca logit",2,"difficult",10,1000
9,0.0150113105773926,"fixest logit",2,"difficult",10,1000
9,0.0169870853424072,"GLFixedEffectModels logit",3,"difficult",10,1000
9,0.0147404670715332,"alpaca logit",3,"difficult",10,1000
9,0.0156254768371582,"fixest logit",3,"difficult",10,1000
10,0.00831103324890137,"GLFixedEffectModels logit",2,"difficult",10,1000
10,0.0142033100128174,"alpaca logit",2,"difficult",10,1000
10,0.0164930820465088,"fixest logit",2,"difficult",10,1000
10,0.0105860233306885,"GLFixedEffectModels logit",3,"difficult",10,1000
10,0.0182325839996338,"alpaca logit",3,"difficult",10,1000
10,0.0167980194091797,"fixest logit",3,"difficult",10,1000
11,0.00688695907592773,"GLFixedEffectModels logit",2,"difficult",10,1000
